72
73
1,shirt,100,800.00,15.00,piece
2,Pant,100,1300.00,15.00,priece
3,T-Shirt,1200,500.00,10.00,piece
4,Jacket,1500,2000.00,10.00,piece
5,Sweater,0,1500.00,12.00,piece
6,Shorts,195,200.00,5.00,piece
7,jeans,500,900.00,5.00,piece
8,Blouse,500,400.00,20.00,piece
9,Skirt,500,300.00,12.00,piece
10,Hoodie,1000,800.00,12.00,piece
11,Polo,500,500.00,15.00,piece
12,Tank,500,800.00,12.00,piece
13,Tracksuit,400,350.00,0.00,piece
14,saree,600,4000.00,25.00,piece
15,Kurta,600,15.00,0.00,piece
16,Coat,100,5000.00,20.00,piece
17,Sneakers,200,300.00,0.00,piece
18,Sandals,200,200.00,15.00,piece
19,Boots,250,1500.00,5.00,piece
20,Loafers,50,3000.00,15.00,piece
21,Flip-Flops,50,1000.00,0.00,piece
22,Formal,300,3000.00,12.00,piece
23,Casual_Shoes,250,2220.00,10.00,piece
24,Heels,500,2290.00,15.00,piece
25,Slippers,250,1290.00,10.00,piece
26,Pen,1200,6.00,0.00,piece
27,Pencil,500,10.00,0.00,piece
28,Notebook,200,25.00,0.00,piece
29,Eraser,100,10.00,0.00,piece
30,Sharpener,200,12.00,0.00,piece
31,Highlighter,250,25.00,0.00,piece
32,Marker,100,50.00,0.00,piece
33,Ruler,25,12.00,0.00,piece
34,Sticky,200,25.00,0.00,piece
35,Stapler,100,55.00,0.00,piece
36,File,200,25.00,0.00,piece
37,Rice,500,55.00,0.00,weight
38,Wheat,600,50.00,0.00,weight
39,Sugar,1000,170.00,0.00,weight
40,Salt,500,50.00,0.00,weight
41,Cooking,1000,170.00,0.00,liquid
42,Tea,188,50.00,0.00,weight
43,Coffee,500,60.00,0.00,weight
44,Milk,1000,100.00,5.00,weight
45,Pasta,500,70.00,0.00,weight
46,Spices,500,78.00,5.00,weight
47,Chocolate,1000,10.00,0.00,piece
48,beef,1000,600.00,0.00,weight
49,Fish,100,150.00,0.00,weight
50,Watch,500,1200.00,5.00,piece
51,Belt,1000,200.00,5.00,piece
52,Wallet,200,300.00,8.00,piece
53,Bag,300,600.00,5.00,piece
54,Scarf,300,250.00,0.00,piece
55,Hat,250,300.00,15.00,piece
56,Sunglasses,500,300.00,15.00,piece
57,Tie,500,300.00,25.00,piece
58,Milk,1000,50.00,0.00,liquid
59,Butter,500,100.00,0.00,weight
60,Cheese,1000,120.00,0.00,weight
61,Cream,500,60.00,0.00,weight
62,Ghee,1000,120.00,0.00,liquid
63,Potatoes,1500,80.00,2.00,weight
64,Onions,500,80.00,2.00,weight
65,Tomatoes,500,60.00,0.00,weight
66,Carrots,500,35.00,0.00,weight
67,Broccoli,50,50.00,0.00,piece
68,Apples,50,300.00,0.00,weight
69,Bananas,100,5.00,0.00,piece
70,Oranges,20,250.00,2.00,weight
71,Strawberries,50,200.00,2.00,weight
72,Watermelon,50,100.00,0.00,piece
